Quicksort Dual Partition
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
10000,10.3433,7.8801,18.6404,18.788,18.4378,19.0721,18.5655,18.4351,18.7453,18.4452,
20000,22.5932,19.4588,18.9911,19.2528,19.6357,19.0085,19.1383,26.2944,19.4592,20.3914,
30000,22.39,19.5774,19.59,19.6214,21.7719,20.0265,20.5238,19.6008,19.6146,19.4904,
40000,20.3852,20.3668,20.1958,23.1379,20.2223,20.515,20.7977,20.3658,20.2433,21.1911,
50000,20.5954,22.5974,20.7198,20.5365,20.7461,20.6266,20.5724,21.3689,24.3003,20.6,
60000,22.7918,21.2253,21.73,21.4933,21.2218,21.1532,33.8298,24.2562,21.2443,21.2246,
70000,21.6837,21.6123,22.5628,21.9542,21.5788,21.5544,21.5344,21.962,29.0727,21.5915,
80000,22.1403,22.2936,23.0366,24.3338,25.4806,22.2166,22.213,22.688,22.1769,23.7974,
90000,22.9309,23.1824,23.5408,23.1307,22.9133,22.984,23.1595,23.0841,22.9202,22.908,
100000,23.4385,23.6906,23.584,23.4545,23.3718,23.3257,23.8035,23.4319,25.5129,24.48,
110000,24.1772,24.2909,26.9094,23.9935,26.0372,25.5627,28.8939,28.1941,32.322,27.9989,
120000,25.7579,24.8483,25.3121,26.1696,25.2977,25.3131,27.1026,24.5891,24.5136,27.2377,
130000,25.62,25.0774,25.2699,25.482,26.2626,25.1923,25.1077,32.5027,32.1938,25.161,
140000,25.7531,26.4527,26.1156,25.7239,25.8273,25.8624,25.6904,26.2195,25.6162,25.8169,
150000,27.0877,32.693,26.2248,28.943,35.8997,30.2034,26.2218,26.3881,26.324,26.7114,
160000,26.9956,26.9633,27.1329,27.163,27.381,27.137,27.3613,27.0969,30.1014,27.0751,
170000,27.5851,27.4807,28.3719,27.5661,27.6838,29.0437,29.8975,27.611,27.4171,27.4406,
180000,31.4424,28.9622,30.2009,30.7612,38.457,28.1857,28.3036,29.5945,29.1479,36.5513,
190000,29.1038,35.4378,29.1139,28.7532,31.6655,40.8436,30.6765,31.3101,28.7407,39.677,
200000,29.2715,29.2616,30.3039,29.493,32.5436,29.1976,29.6452,30.6522,31.7577,31.2153,
210000,30.0163,30.16,30.0339,30.2112,30.0889,30.2545,30.0835,30.2113,30.2497,29.9532,
220000,32.1317,31.2702,39.1646,30.6403,30.8568,30.6084,33.2111,30.4366,30.7738,31.0678,
230000,31.0088,33.0285,30.9644,31.1496,30.9268,31.1136,31.0202,30.9438,31.1121,30.9637,
240000,34.0034,31.7624,32.9468,31.977,37.8193,32.0366,31.6167,32.104,31.5915,38.7252,
250000,33.2988,38.9898,36.9719,37.3084,33.8989,32.8302,33.234,32.3802,32.4534,45.1489,
260000,33.467,33.3559,33.4182,33.4272,33.1904,33.4956,33.1873,33.517,33.2419,33.5303,
