Sorted Data - Quick Sort
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
100,0.007,0.0033,0.0031,0.0031,0.0031,0.0031,0.0029,0.0032,0.0029,0.0029,
200,0.0065,0.0061,0.0059,0.0058,0.0058,0.0058,0.0057,0.0058,0.0057,0.0057,
300,0.0093,0.0091,0.0086,0.0087,0.0087,0.0085,0.0086,0.0085,0.0085,0.0085,
400,0.0117,0.0115,0.0122,0.0114,0.0112,0.0111,0.0113,0.0112,0.0112,0.0112,
500,0.016,0.0155,0.0144,0.0147,0.0146,0.0145,0.0148,0.0152,0.0145,0.0172,
600,0.0168,0.0163,0.0162,0.0164,0.0164,0.0216,0.0167,0.0164,0.0165,0.0163,
700,0.0193,0.019,0.0191,0.019,0.0192,0.0189,0.0192,0.019,0.0191,0.0191,
800,0.0219,0.022,0.0223,0.022,0.0218,0.0246,0.0225,0.0218,0.0219,0.0218,
900,0.0278,0.0257,0.0248,0.0253,0.0262,0.026,0.0259,0.0258,0.0267,0.0259,
1000,0.0279,0.0274,0.0277,0.0276,0.0294,0.0286,0.0282,0.0315,0.0277,0.0276,
1100,0.0334,0.0316,0.0321,0.0323,0.0318,0.0324,0.032,0.0316,0.0328,0.032,
1200,0.0365,0.0337,0.0336,0.0333,0.0333,0.0334,0.0335,0.0332,0.0334,0.0335,
1300,0.0396,0.039,0.0391,0.0399,0.04,0.0372,0.039,0.0368,0.0364,0.0363,
1400,0.0391,0.0392,0.0393,0.0389,0.0392,0.0393,0.0391,0.0421,0.0398,0.0393,
1500,0.044,0.0436,0.0436,0.0437,0.0436,0.0432,0.0432,0.0433,0.0455,0.0425,
1600,0.0477,0.0457,0.0458,0.0451,0.0458,0.0463,0.0461,0.0471,0.0486,0.0469,
1700,0.0515,0.0513,0.0514,0.0515,0.0525,0.052,0.0524,0.0515,0.0519,0.0521,
1800,0.0567,0.0531,0.051,0.0507,0.0504,0.0506,0.0505,0.0504,0.0504,0.0508,
1900,0.057,0.0549,0.0545,0.0551,0.055,0.0548,0.0545,0.0545,0.058,0.0554,
2000,0.0582,0.0602,0.0581,0.0576,0.0578,0.0579,0.0577,0.0579,0.0576,0.0579,
2100,0.0611,0.061,0.061,0.0608,0.0611,0.0652,0.0623,0.0613,0.0617,0.0616,
2200,0.0649,0.0644,0.0648,0.0644,0.0643,0.0644,0.0642,0.0646,0.0645,0.0668,
2300,0.0701,0.0662,0.0652,0.0653,0.0653,0.0652,0.0651,0.0652,0.0652,0.0652,
2400,0.0711,0.0709,0.0709,0.0706,0.0703,0.0721,0.0714,0.0708,0.071,0.0708,
2500,0.0763,0.0759,0.0757,0.0762,0.0748,0.0742,0.0744,0.0742,0.0775,0.0766,
2600,0.0787,0.0779,0.0775,0.0775,0.0775,0.0776,0.0776,0.0779,0.078,0.0776,
2700,0.081,0.085,0.082,0.0822,0.0814,0.085,0.083,0.0828,0.087,0.0831,
2800,0.0831,0.0823,0.0847,0.0876,0.0848,0.0848,0.0846,0.0845,0.0848,0.0846,
2900,0.0908,0.0904,0.0906,0.0903,0.0916,0.0909,0.0866,0.0869,0.087,0.0868,
3000,0.0919,0.0918,0.092,0.0918,0.0916,0.0928,0.0894,0.0887,0.0889,0.0889,
3100,0.0957,0.0958,0.0956,0.0958,0.0981,0.0971,0.0976,0.1545,0.1068,0.099,
3200,0.0972,0.0963,0.0959,0.096,0.0961,0.096,0.1041,0.1029,0.1013,0.1027,
3300,0.1069,0.1062,0.1064,0.1068,0.1062,0.1149,0.1013,0.1036,0.0997,0.0996,
