Quicksort
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
10,0.0019,5.0E-4,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,3.0E-4,2.0E-4,
20,8.0E-4,6.0E-4,5.0E-4,4.0E-4,4.0E-4,4.0E-4,4.0E-4,4.0E-4,3.0E-4,4.0E-4,
30,0.0012,8.0E-4,6.0E-4,5.0E-4,5.0E-4,5.0E-4,5.0E-4,5.0E-4,5.0E-4,6.0E-4,
40,0.0015,0.001,8.0E-4,8.0E-4,7.0E-4,8.0E-4,7.0E-4,7.0E-4,6.0E-4,6.0E-4,
50,0.0019,0.0013,9.0E-4,8.0E-4,8.0E-4,7.0E-4,7.0E-4,7.0E-4,8.0E-4,9.0E-4,
60,0.0022,0.0014,0.0012,0.001,0.001,9.0E-4,0.0013,0.001,9.0E-4,9.0E-4,
70,0.0026,0.0019,0.0014,0.0013,0.0013,0.0012,0.0012,0.0011,0.0011,0.0011,
80,0.0032,0.002,0.0016,0.0014,0.0013,0.0012,0.0013,0.0013,0.0012,0.0013,
90,0.0036,0.0025,0.0021,0.0017,0.0016,0.0016,0.0015,0.0015,0.0015,0.0014,
100,0.0041,0.0028,0.0023,0.0021,0.0019,0.002,0.0018,0.0018,0.0019,0.0018,
110,0.0042,0.0031,0.0026,0.0021,0.0019,0.0018,0.0018,0.0018,0.0017,0.0017,
120,0.0045,0.0036,0.0028,0.0025,0.0022,0.0022,0.0021,0.0021,0.002,0.0021,
130,0.005,0.0146,0.0032,0.0029,0.0025,0.0027,0.0023,0.0022,0.0023,0.0022,
140,0.0053,0.004,0.0031,0.0027,0.0025,0.0025,0.0025,0.0025,0.0024,0.0024,
150,0.0062,0.0047,0.0038,0.0032,0.0028,0.0027,0.0027,0.0027,0.0027,0.0026,
160,0.0066,0.0053,0.0045,0.0037,0.0033,0.0031,0.0031,0.0031,0.003,0.0029,
170,0.0067,0.0054,0.0041,0.0037,0.0032,0.0031,0.0031,0.0031,0.003,0.0029,
180,0.0073,0.0061,0.0048,0.004,0.0035,0.0033,0.0032,0.0033,0.0031,0.0032,
190,0.0078,0.0061,0.005,0.0042,0.0037,0.0036,0.0034,0.0034,0.0035,0.0034,
200,0.0081,0.0066,0.0054,0.0047,0.0045,0.004,0.0038,0.0037,0.0037,0.0037,
210,0.0085,0.0129,0.0056,0.0047,0.0042,0.0039,0.0039,0.0037,0.0037,0.0037,
220,0.0092,0.01,0.0063,0.0055,0.0048,0.0046,0.0044,0.0044,0.0044,0.0043,
230,0.0094,0.0077,0.0062,0.0054,0.0049,0.0046,0.0044,0.0044,0.0044,0.0044,
240,0.0099,0.0082,0.0068,0.0059,0.0053,0.0049,0.0048,0.0048,0.0046,0.0046,
250,0.0104,0.0087,0.0069,0.006,0.0054,0.005,0.0048,0.0046,0.0046,0.0045,
260,0.0116,0.0096,0.008,0.0069,0.0061,0.0058,0.0056,0.0055,0.0054,0.0054,
270,0.0111,0.0094,0.0076,0.007,0.0059,0.0056,0.0054,0.0053,0.0053,0.0052,
